id,term_en,term_local,language,category,definition_local,definition_en,example_local,example_en,version
am-011,Balance,አሁናዊ ሒሳብ,am,Metric,በተጠቃሚ ሒሳብ ወይም ዋሌት ውስጥ አሁን ላይ ያለው የገንዘብ መጠን ማለት ነው፡፡ ይህም ተጠቃሚው ምን ያህል ገንዘብ መክፈል፣ መላክ፣ ወይም ማውጣት እንደሚችል የሚያሳይ አኃዝ ነው፡፡,"The amount of money currently available in a user's account or wallet. It shows how much the user can spend, send, or withdraw.",ምንም ገንዘብ ያልነበረው የአቶ አበበ የባንክ ሒሳብ፤ በትላንትናው ዕለት 4 ሺህ ብር ገቢ ከተደረገበት በኋላ፤ አቶ አበበ ዛሬ 1 ሺህ ብር ወጪ ስላደረገ፤ የአቶ አበበ አሁናዊ ሒሳብ 3 ሺህ ብር ነው፡፡,,1.0
am-012,Bank Accounts,የባንክ ሒሳብ (እንደ አግባቡ የደንበኞች የባንክ ሒሳብ),am,Products/Instrument,የደንበኞች የባንክ ሒሳብ ማለት፤ በፋይናንስ ተቋሙ የሚሰነድ የግለሰቦች ወይም የድርጅቶች መረጃ ሲሆን፤ ተጠቃሚዎች ገንዘብ ማስቀመጥ፣ መቀበል፣ ብሎም ገንዘብ ማውጣት፣ ማዘዋወር፣ እና መቆጠብን የመሳሰሉ አገልግሎቶችን ለማግኘት ያስችላቸዋል፡፡ አገልግሎቶቹን በቅርንጫፎች፣ በኤ/ቲ/ኤም/፣ አሊያም በእጅ ስልክ (በዩ/ኤስ/ኤስ/ዲ/ ኮድ ወይም በመተግበሪያ) ማግኘት የሚቻል ሲሆን፤ አገልግሎቱ የተገኘው በእጅ ስልክ ከሆነ ደግሞ ‹‹የሞባይል ባንክ አገልግሎት›› ይሰኛል፡፡,"A bank account is a personal or business record held by a financial institution where users can store money, receive payments, and access services like withdrawals, transfers, and savings. It can be accessed through branches, ATMs, USSD or mobile apps, in which case it is sometimes referred to as mobile banking.",እስከ ቅርብ ጊዜ ድረስ ወ/ት አበበች የቤቷን የኤሌክትሪክ ቢል ክፍያ ትፈጽም የነበረው ወደ ኤሌክትሪክ ኃይል ኮርፖሬሽን ቅርንጫፍ ጽ/ቤት በአካል በመሄድ ነበር፡፡ ነገር ግን ኮርፖሬሽኑ የጥሬ-ገንዘብ ክፍያን በማስቀረት ደንበኞች በዲጂታል ፋይናንስ አማራጮች ክፍያቸውን እንዲፈጽሙ የሚያስችል አሠራር በመጀመሩ፤ ወ/ት አበበች የባንክ ሒሳብ መክፈት አስፈልጓታል፡፡,,1.0
am-013,Bill payment,ቢል ክፍያ,am,Use case,"አንድ ተጠቃሚ በዲጂታል ፋይናንስ አገልግሎት አማካኝነት እንደ ኤሌክትሪክ፣ ውሀ፣ እና ኢንተርኔት/በይነ-መረብ ለመሳሰሉ ግልጋሎቶች (utilities)፤ ብሎም ለትምህርት ቤት እና ለመሰል አገልግሎቶች የሚጠበቅበትን ክፍያ ሲፈጽም የሚኖረው የፋይናንስ ውርኝት ነው፡፡ 
የቢል ክፍያዎችን፤ በሞባይል-ገንዘብ፣ በባንክ አገልግሎት መተግበሪያዎች፣ በዩ/ኤስ/ኤስ/ዲ/ ኮድ፣ ወይም በወኪል መደብሮች አማካኝነት መፈጸም ይቻላል፡፡","A financial transaction where a user pays for services or utilities—such as electricity, water, internet, or school fees-using digital financial services. Bill payments can be made through mobile money, banking apps, USSD, or agent outlets.",አንድ ግለሰብ ወደ ሞባይል-ገንዘብ ወኪል ሄዶ ጥሬ-ገንዘብ ከሰጠው በኋላ፤ የኤሌክትሪክ/የመብራት ካርዱን የዲጂታል ገንዘብ እንዲሞላለት ጠየቀው፡፡,"A person visits a mobile money agent, gives cash, and asks the agent to recharge their electricity card digitally.",1.0
am-014,Bill Spliting,ቢል መጋራት,am,,ሁለት እና ከዚያ በላይ ሰዎች፤ እንደ ምግብ፣ መጓጓዣ፣ እና ግልጋሎት (utility) የመሳሰሉ ወጪዎችን በመካፈል፤ እያንዳንዳቸው የየድርሻቸውን በዲጂታል ፋይናንስ አገልግሎት አማካኝነት የሚከፍሉበት ሁኔታ ነው፡፡,"Bill splitting is when two or more people share the cost of a payment—such as a meal, transport, or utility- and each person pays their portion using digital financial services.",በቡድን ሆነው በምግብ ቤት የተመገቡ ጓደኛማቾች፤ በቢሉ/በደረሰኙ ከተጠቀሰው ድምር ሒሳብ ለእያንዳንዳቸው በነፍስ-ወከፍ የሚደርስባቸውን መጠን፤ በሞባይል-ገንዘብ አማካኝነት ስለከፈሉ ቢል ተጋርተዋል፡፡,A group of friends who eat at a restaurant use mobile money to each pay their share of the total bill.,1.0
am-015,Borrowing,መበደር (እንደአገባቡ ብድር),am,Product/Instrument,መበደር/ብድር ማለት፤ አንድ ተጠቃሚ እንደ ባንክ፣ አነስተኛ የፋይናንስ ድርጅት፣ ወይም የዲጂታል ብድር አቅራቢ ካሉ ከመደበኛ የፋይናንስ አገልግሎት ሰጪዎች ገንዘብን መውሰድ ሲሆን፤ ይህም ገንዘቡን ቆይቶ ለመመለስ በመስማማት ነው፡፡ አብዛኛውን ጊዜ ብድሩ ወለድ ይሰላበታል፡፡ ብድሩን በእጅ ስልክ (በመተግበሪያዎች አሊያም በዩ/ኤስ/ኤስ/ዲ/ ኮድ)፣ ወይም በወኪል-አገዝ አገልግሎት አማካኝነት ማግኘት ይቻላል፡፡,"Borrowing is when a user receives money from a formal financial service provider—such as a bank, microfinance institution, or digital credit platform—with an agreement to repay it later, often with interest. Borrowing can be accessed through mobile apps, USSD, or agent-assisted services.",አንድ ነጋዴ፤ ፈቃድ ባለው የአነስተኛ ፋይናንስ ተቋም በወጣ የእጅ ስልክ መተግበሪያ አማካኝነት ገንዘብ ተበድሮ የሱቁን ዕቃ ያሟላ ሲሆን፤ ብድሩም በየሳምንቱ በተከታታይ ክፍያዎች/ተቆራጮች የሚመመለስ ነው፡፡,A small shop owner borrows money through a mobile app offered by a licensed microfinance institution to restock goods and agrees to repay in weekly installments.,1.0
am-016,Bulk payments,ጅምላ ክፍያ,am,Use Case,በዲጂታል ፋይናንስ አገልግሎት ማእቀፍ፤ አንድ ድርጅት ወይም ግለሰብ በአንድ ጊዜ ለብዙ ተቀባዮች ገንዘብ እንዲልክ የሚያስችለው አሠራር ነው፡፡ አብዛኛውን ጊዜ ደሞዝተኞችን፣ ሻጮች/አቅራቢዎችን፣ እና የማኅበራዊ ዋስትና ተጠቃሚዎችን ለመክፈል የሚውል አሠራር ሲሆን፤ የሚከወነውም በሞባይል-ገንዘብ ዳሽቦርዶች፣ በባንክ ፖርታሎች፣ ወይም በተቀናጁ የሶፍትዌር ማናበቢያዎች (integrated APIs)፤ እና በመሳሰሉት መደበኛ አሠራሮች አማካኝነት ነው፡፡,"Bulk payments refer to a digital financial service that allows organizations or individuals to send money to multiple recipients at once. This is commonly used for salaries, vendor payments, or social transfers, and is processed through formal platforms such as mobile money dashboards, banking portals, or integrated APIs.",አንድ ኩባንያ በሞባይል-ገንዘብ ፕላትፎርም አማካኝነት፤ በአንድ ውርኝት ብቻ ለሁሉም ሠራተኞቹ ወርኃዊ ደሞዛቸውን በየግል [ኢ-] ዋሌታቸው እንዲገባ አድርጓል፡፡ ይህ መሰል አሠራር ጅምላ ክፍያ ይባላል፡፡,A company uses a mobile money platform to send monthly salaries to all its employees’ wallets in one transaction.,1.0
am-017,"Buy Now, Pay Later (BNPL)",የዱቤ ግዢ,am,Product/Instrument,ደንበኞች ዕቃዎችን ወይም አገልግሎቶችን አሁን ወስደው፤ ነገር ግን ዋጋውን ቆይተው እንዲከፍሉ የሚያስችላቸው አሠራር ሲሆን፤ ብዙውን ጊዜ የአከፋፈሉ ዘዴ ደግሞ ወደፊት ባሉ በተለያዩ የጊዜ እርከኖች ላይ ነው፡፡ አገልግሎቱ ባብዛኛው በዲጂታል ዘዴዎች ወይም መተግበሪያዎች የሚሰጥ ሲሆን፤ ወለድ ወይም የአገልግሎት ክፍያ ሊጠየቅበትም ላይጠየቅበትም ይችላል፡፡,"A payment option that lets customers buy goods or services immediately and pay for them later, often in installments. It is usually offered through digital platforms or apps and may or may not include interest or fees.",‹‹መሠረ›› ሱፐርማርኬት፤ ‹‹ሀለሐ›› ከሚሰኝ የዲጂታል ፋይናንስ አገልግሎት ሰጪ ጋር ባለው ስምምነት መሠረት፤ የ‹‹ሀለሐ›› ደንበኞች በወር እስከ 3 ሺህ ብር ድረስ ከ‹‹መሠረ›› ሱፐርማርኬት የዱቤ ግዢ መፈጸም ይችላሉ፡፡ ሸማቾቹ ዕቃውን ከወሰዱ በኋላ እስከ 6 ወራት ድረስ የዕቃውን ዋጋ ከእነወለዱ ለ‹‹ሀለሐ›› ከከፈሉ በኋላ፤ ‹‹ሀለሐ›› ደግሞ ለ‹‹መሠረ›› የዕቃውን ዋጋ ብቻ ያስተላልፍለታል፡፡,,1.0
am-018,Open loop,ክፍት ዑደት,am,Infrastructure,ተጠቃሚዎች ወደተለያዩ ፕላትፎርሞች እና አገልግሎት ሰጪዎች ገንዘብን ለመላክ፣ ለመቀበል፣ ወይም ለመክፈል የሚፈቅድ የዲጂታል ፋይናንስ አሠራር ነው፡፡ ገንዘቡ ወደ ሌሎች ባንኮች፣ የሞባይል-ሙዳዮች፣ እና ሌሎች የፋይናንስ አገልግሎት ሰጪዎች ማስተላለፍን ይፈቅዳል፡፡,"An open loop is a digital financial system where users can send, receive, or spend money across different platforms and providers. It allows money to move between banks, mobile wallets, and other financial services.",አቶ መንሱር እርሱ ከሚጠቀምበት ውጪ የሞባይል-ገንዘብ ከሚገለገለው ከአቶ ሸምሱ ገንዘብ ለመቀበል ስለቻለ፤ አቶ ሸምሱ ደንበኛ የሆነበት ፕላትፎርም ወይም ድርጅት ክፍት ዑደት ያለው አሠራርን ይከተላል ማለት ነው፡፡,A merchant accepts payments from customers using different mobile money providers through an interoperable payment system.,1.0
am-019,Closed loop,ዝግ ዑደት,am,Infrastructure,በአንድ አገልግሎት አቅራቢ/ድርጅት ውስጥ ባሉ ተጠቃሚዎች መካከል ብቻ ገንዘብ ለመላክ፣ ለመቀበል፣ ወይም ለመክፈል የሚያስችል የዲጂታል ፋይናንስ አሠራር ነው፡፡ ገንዘቡ ወደ ሌሎች ባንኮች ወይም የሞባይል-ገንዘብ አገልግሎት ሰጪዎች ሊተላለፍ አይችልም፡፡,"A closed loop is a digital financial system where users can only send, receive, or spend money within the same provider’s platform. The money cannot be transferred to other banks or mobile money services.",ደሞዙን ዝግ ዑደት ባለው ዋሌት የተቀበለ አንድ ሠራተኛ፤ ከዋሌቱ እየቀነሰ የአየር ጊዜ ለመግዛት እና አንዳንድ ቢሎችን ለመክፈል ቢችልም፤ ነገር ግን ደሞዙን ወደ ባንክ ሒሳቡ መላክ አይችልም፡፡,"A worker receives their salary in a closed-loop wallet and uses it to buy airtime and pay bills, but cannot move the money to a bank account.",1.0
am-020,Commissions,ኮሚሽን,am,Pricing,የተጠቃሚዎችን ገንዘብ ለማስቀመጥ፣ ለማውጣት፣ ወይም ሒሰብ ለመክፈት ላደረጉት አገልግሎት፤ ለወኪሎች ወይም አገልግሎት ሰጪዎች የሚሰጥ ክፍያ ነው፡፡,"Commissions are earnings paid to agents, or service providers for for helping users deposit, withdraw, or register for services (for facilitating financial transactions or services)",አንድ የሞባይል-ገንዘብ ወኪል፤ ገቢ-በጥሬ፣ ቢል ክፍያ፣ ወይም የ[ሞባይል-]ዋሌት ሒሳብ መክፈት የመሳሰሉ አገልግሎቶችን በሚሰጥበት ወቅት፤ ባከናወነው በእያንዳንዱ ስኬታማ ውርኝት የሚሰላ ኮሚሽን ያገኛል ወይም ይወስዳል፡፡,"A mobile money agent earns a commission for each successful transaction they assist with, such as cash-in, bill payment, or wallet registration.",1.0
am-021,Fees,የአገልግሎት ክፍያ,am,Pricing,የአገልግሎት ክፍያ ማለት፤ አንድ ደንበኛ የፋይናንስ አገልግሎቶችን ስለተጠቀመ እንዲከፍል የሚጠየቀው አነስተኛ መጠን ያለው ገንዘብ ነው፡፡ በዲጂታል ፋይናንስ አገልግሎት ዘርፍ ውስጥ፤ እንደ ገንዘብ መላክ፣ ጥሬ-ገንዘብ ማውጣት፣ ወይም የቢል ክፍያዎች መፈጸም፣ እና የመሳሰሉ ውርኝቶች ላይ የአገልግሎት ክፍያ ሊጠየቅባቸው ይችላል፡፡ የአገልግሎት ክፍያው፤ አብዛኛውን ጊዜ ከተጠቃሚው ሒሳብ ወይም ዋሌት ላይ ወዲውኑ ተቀናሽ የሚደረግ ነው፡፡,"Fees are small amounts of money charged to users for using financial services. In digital financial services, fees may apply to transactions like sending money, withdrawing cash, or paying bills. These fees are usually deducted automatically from the user’s account or wallet.",አንድ ተጠቃሚ፤ ከራሱ የሞባይል-ዋሌት ወደ ሌላ ሰው ሒሳብ ገንዘብ ሲያስተላልፍ፤ አነስተኛ የአገልግሎት ክፍያ እንዲከፍል ይደረጋል፡፡,A user is charged a small fee when transferring money from their mobile wallet to another person’s account.,1.0
am-022,Community-Based Finance,ማኅበረሰብ-ሠራሽ ፋይናንስ,am,Concept,ገንዘብ ለመቆጠብ፣ ለመበዳደር፣ ወይም ርስበርስ በገንዘብ ለመተጋገዝ ሰዎች የሚሰባሰቡበት ዘልማዳዊ ወይም አካባቢያዊ የመረዳጃ ሥርዓት ነው፡፡ መሰል ሥርዓቶች በመተማመን እና በማኅበራዊ ትስስር ላይ የተመረኮዙ ናቸው፡፡,"Community-based finance refers to traditional systems where people come together to save, lend, or support each other financially. These systems are based on trust and social ties.",ጎረቤታማቾች በጀመሩት ዕቁብ፤ እያንዳንዱ አባል በቁርጥ የተወሰነ ሳምንታዊ መዋጮ የሚከፍል ሲሆን፤ በየሳምንቱ በሚወጣው ዕጣ መሠረት ለአንድ ባለዕድል የሁሉም አባላት ድምር መዋጮ ይሰጠዋል፡፡ ይህ መሰል አሠራር ማኅበረሰብ-ሠራሽ ፋይናንስ ይሰኛል፡፡,"A group of neighbors form an Equb where each member contributes a fixed amount weekly, and one member receives the total amount in rotation.",1.0
am-023,Credit,ብድር,am,Product/instrument,ብድር ማለት፤ አንድ ተጠቃሚ ከመደበኛ የፋይናንስ አገልግሎት ወይም ከዲጂታል ፕላትፎርም፤ መልሶ ለመክፈል (አብዛኛውን ጊዜ ከእነ ወለዱ) በመስማማት የሚቀበለው ገንዘብ ነው፡፡,"Credit is money provided to a user by a formal financial institution or digital platform with the agreement that it will be paid back later, usually with interest.",አንድ የሞባይል-ገንዘብ ተጠቃሚ፤ ፈቃድ ካለው የዲጂታል ብድር አገልግሎት ሰጪ ብድር የወሰደ ሲሆን፤ ብድሩንም በአንድ ወር ውስጥ ከጥቂት ወለድ ጋር መልሶ ለመክፈል በመስማማት ነው፡፡,A mobile money user receives credit through a licensed digital lending service and agrees to repay the amount over one month with a small interest fee.,1.0
am-024,Credit card,የብድር ካርድ,am,Product/instrument,ባብዛኛው በባንኮች የሚሰጥ እና ከተዘዋዋሪ ብድር ዓይነቶች መካከል አንዱ ነው፡፡ የአገልግሎቱ ተጠቃሚዎች አስቀድሞ እስከተወሰነው የገንዘብ መጠን ድረስ መበደር እና የተበደሩትን ገንዘብ በቀጥታ ለሸመታ ለመክፈል አሊያም በጥሬ-ገንዘብ ለማውጣት ይችላሉ፡፡ ብድሩ ከተወሰነ ጊዜ በኋላ መልሶ መከፈል ያለበት ሲሆን፤ ወለድ እና/ወይም ተጨማሪ የአገልግሎት ክፍያ ሊጠየቅበት ይችላል፡፡,"It is a type of revolving credit, typically issued by a bank, which allows borrowing funds to make purchases or withdraw cash, up to a predetermined limit. The borrowed money should be repaid, plus any applicable interest and fees, later.",አቶ አበበ በባንክ የቁጠባ ሒሳቡ ውስጥ ምንም ገንዘብ ባይኖረውም፤ ከባንኩ የተሰጠው እና በወር እስከ 10 ሺህ ብር ድረስ መበደር የሚያስችለው የብድር ካርድ ተጠቃሚ ነው፡፡ አቶ አበበ አስቸኳይ የጤና እክል ስለገጠመው፤ በብድር ካርዱ አማካኝነት 6 ሺህ ብር ወጪ አድርጓል፡፡,,1.0
am-025,Debit card,ባለስንቅ ካርድ,am,Product / Instrument,ተጠቃሚው በባንክ ሒሳቡ ባስቀመጠው በራሱ ገንዘብ፤ ዕቃ ሲገዛ ለመክፈል ወይም ከኤ/ቲ/ኤም/ ጥሬ-ገንዘብን ለማውጣት ያገለግላል፡፡,A debit card is a card that lets you use your own money from your bank account to pay for things or take out cash from an ATM.,የአቶ አበበ ባለስንቅ ካርድ፤ በባንክ ሒሳቡ ከተቀመጠው ገንዘብ ሌላ እላፊ ገንዘብ ወይም ብድር ሊሰጠው ስላልቻለ፤ የብድር ካርድ እንዲሰጠው አቶ አበበ ለባንኩ ማመልከቻ አስገብቷል፡፡,,1.0
