id,term_en,term_local,language,category,definition_local,definition_en,example_local,example_en,version
om-011,Application (App),Appilikeeshinii,om,Channel,"Sagantaa sooftiweerii fayyadamtoonni bilbila ismaartii yookiin taableetii irratti buufachuun tajaajila faayinaansii dijitaalaa akka maallaqa erguu, kaffaltii raawwachuu, fi haftee ilaaluu itti argatan.",,"Herreega baankii keessan bilbila ismaartii irratti fayyadamuuf appilikeeshinii ""Coopay"" buufachuu qabdu.",,1.0
om-012,Balance,Haftee,om,Metric,"Hamma maallaqa herreega yookiin waaletii fayyadamaa irra jiru. Maallaqa hammamii baasuu, erguu yookiin fayyadamuu akka danda’an agarsiisa.","The amount of money currently available in a user's account or wallet. It shows how much the user can spend, send, or withdraw.","Herregni baankii Obbo Abebe isa duraan maallaqa tokkollee keessaa hin qabne, kaleessa birriin kumni 4 erga itti galee booda, Obbo Abebe har'a birrii kuma 1 waan baaseef, herregni Obbo Abebe yeroo ammaa (Hafteen) birrii kuma 3 dha. Yeroo maraa maallaqa erguu keessan dura haftee keessan ilaalaa.",,1.0
om-013,Bank Accounts,Herreega Baankii,om,Products/Instrument,"Galmee dhuunfaa yookiin daldalaa dhaabbata faayinaansii fayyadamtoonni maallaqa kuusuuf, kaffaltii fudhachuuf, fi tajaajila akka baasii, dabarsaa fi qusannoo argachuuf gargaarudha. Dameewwan baankii, ATM, ergaa gabaabaa yookiin appilikeeshinii moobaayilaatiin argamuu danda’a.","A bank account is a personal or business record held by a financial institution where users can store money, receive payments, and access services like withdrawals, transfers, and savings. It can be accessed through branches, ATMs, USSD or mobile apps, in which case it is sometimes referred to as mobile banking.","Hojjettoonni yeroo baay’ee mindaa ji’aa kallattiin Herreega Baankii isaaniitiin fudhatu, sana booda ATM baankii fayyadamuun maallaqa callaa baasuuf tajaajilamu.",,1.0
om-014,Bill Payment,Kaffaltii Tajaajilaa,om,Use case,"Sochii faayinaansii fayyadamaan tajaajiloota yookiin kanneen akka ibsaa, bishaan, interneetii, yookiin kaffaltii mana barumsaatiif tajaajila faayinaansii dijitaalaa fayyadamuun itti kaffaluudha. Kaffaltiin tajaajilaa karaa maallaqa moobaayilaa, appilikeeshinii baankii, USSD/ergaa gabaabaa, yookiin wiirtuu bakka bu’aa raawwatamuu danda'a.","A financial transaction where a user pays for services or utilities—such as electricity, water, internet, or school fees-using digital financial services. Bill payments can be made through mobile money, banking apps, USSD, or agent outlets.","Namni tokko gara bakka bu’aa maallaqa moobaayilaa deemuun, maallaqa callaa kennee, bakka bu'ichaan kaardii ibsaa akka dijitaalaan guutuuf gaafata.","A person visits a mobile money agent, gives cash, and asks the agent to recharge their electricity card digitally.",1.0
om-015,Bill Splitting,Kaffaltii Qooddachuu,om,Use case,"Yeroo namoonni lamaa fi sanaa ol baasii kaffaltiiwwan akka nyaataa, geejjibaa, yookiin tajaajilaa qooddatanii, tokkoon tokkoon isaanii qooda isaanii karaa tajaajila faayinaansii dijitaalawaa kaffalanidha.",,"Hiriyoonni mana nyaataa keessatti erga nyaatanii booda, maallaqa moobaayilaa fayyadamuun tokkoon tokkoon isaanii qooda baasii waliigalaa ofii kaffalu.",,1.0
om-016,Borrowing,Liqeeffachuu,om,Product/Instrument,"Adeemsa fayyadamaan dhaabbata tajaajila faayinaansii kanneen akka baankii, maayikiroo-faayinaansii, yookiin pilatfoormii liqii dijitaalaa irraa, maallaqa fudhatee, booda dhala waliin deebisuuf itti waliigaludha. Liqiin karaa appilikeeshinii moobaayilaa, USSD/ergaa gabaabaa, yookiin tajaajila bakka bu'aan deeggaramuun argamuu danda'a.","Borrowing is when a user receives money from a formal financial service provider—such as a bank, microfinance institution, or digital credit platform—with an agreement to repay it later, often with interest. Borrowing can be accessed through mobile apps, USSD, or agent-assisted services.","Abbaan suuqii xiqqaa meeshaa daldalaa dabalataa bitachuuf, appilikeeshinii moobaayilaa dhaabbata maayikiroo-faayinaansii eeyyamamaa irraa maallaqa liqeeffatee, torban torbaniin kaffaluuf waliigala.",A small shop owner borrows money through a mobile app offered by a licensed microfinance institution to restock goods and agrees to repay in weekly installments.,1.0
om-017,Bulk Payments,Kaffaltii Jumlaa,om,Use Case,"Tajaajila faayinaansii dijitaalaa dhaabbileen yookiin namoonni dhuunfaa yeroo tokkotti namoota hedduuf maallaqa itti erganidha. Tajaajilli kun yeroo hedduu mindaa, kaffaltii dhiyeessitootaa, yookiin gargaarsa hawaasaatiif kan oolu yoo ta'u, karaa daashiboordii maallaqa moobaayilaa, poortaalii baankii, yookiin API wal-qabsiisuun raawwatama.","Bulk payments refer to a digital financial service that allows organizations or individuals to send money to multiple recipients at once. This is commonly used for salaries, vendor payments, or social transfers, and is processed through formal platforms such as mobile money dashboards, banking portals, or integrated APIs.",Kaampaaniin tokko pilatfoormii maallaqa moobaayilaa fayyadamuun mindaa ji'aa hojjettoota isaa hundaaf karaa waaletii isaanii galcha.,A company uses a mobile money platform to send monthly salaries to all its employees’ wallets in one transaction.,1.0
om-018,"Buy Now, Pay Later (BNPL)","Amma Biti, Booda Kaffali",om,Product/Instrument,"Filannoo kaffaltii maamiltoonni oomisha yookiin tajaajila hatattamaan bitatanii, kaffaltii isaa booda (qooqqodameee) itti kaffalanidha. Kunis yeroo baay'ee karaa pilaatfoormii dijitaalaa yookiin appilikeeshiniidhaan kan dhiyaatu yoo ta'u, dhala yookiin kaffaltii tajaajilaa qabaachuu yookiin dhabuu danda'a.","A payment option that lets customers buy goods or services immediately and pay for them later, often in installments. It is usually offered through digital platforms or apps and may or may not include interest or fees.","Barataan sun tajaajila Amma Biti, Booda Kaffali appilikeeshinii bittaa irra jiru fayyadamuun bilbila haaraa bitatee, kaffaltii isaa marsaa sadiin kaffala.",,1.0
om-019,Cash-In,Maallaqa Galchuu,om,Use Case,Maallaqa callaa (physical cash) bakka bu’aatti kennuun gara maallaqa elektirooniksii (eMoney) herreega ofii yookiin waaletii moobaayilaatti jijjiirsisuu.,Receiving eMoney credit in exchange for physical cash - typically done at an agent.,Maamilli gara bakka bu'aa maallaqa moobaayilaa eeyyamamaa deemuun maallaqa callaa kenna; bakka bu'aanis maallaqa sana waaletii moobaayilaa isaaniitti galchaaf.,"A customer visits a licensed mobile money agent, hands over cash, and the agent deposits the amount into their mobile wallet.",1.0
om-020,Cash-Out,Maallaqa Baasuu,om,Use Case,"Herreega elektiroonikii irraa hir’isuun maallaqa callaa (physical cash) bakka bu’aa irraa fudhachuu. Example: Hojjetaan mindaa isaa waaletii moobaayilaa irratti galeef, baasii manaatiif jecha bakka bu'aa biraa maallaqa callaa (cash) baafata.",Receiving physical cash in exchange for a debit to an eMoney account - typically done at an agent.,,A salaried worker receives their income in a mobile wallet and cashes out part of it through an agent to cover household expenses.,1.0
om-021,Closed Loop,Sirna Cufaa,om,Infrastructure,"Sirna faayinaansii dijitaalaa fayyadamtoonni maallaqa dhiyeessaa tajaajilaa sana qofa keessatti sochoosuu (erguu, fudhachuu, kaffaluu) danda’anidha. Maallaqichi gara baankii yookiin tajaajila maallaqa moobaayilitti hin darbu.","A closed loop is a digital financial system where users can only send, receive, or spend money within the same provider’s platform. The money cannot be transferred to other banks or mobile money services.","Hojjetaan mindaa isaa waaletii sirna cufaa keessatti argate kaardii guuttachuu fi kaffaltii tajaajilaa raawwachuu danda'a, garuu maallaqa sana gara herreega baankiitti dabarsuu hin danda'u.","A worker receives their salary in a closed-loop wallet and uses it to buy airtime and pay bills, but cannot move the money to a bank account.",1.0
om-022,Commissions,Komishinii,om,Pricing,"Galii bakka bu’oonni yookiin dhiyeessitoonni tajaajilaa, sochii faayinaansii (akka maallaqa galchuu, baasuu, yookiin galmeessuu hojjetaniif argatanidha.","Commissions are earnings paid to agents, or service providers for for helping users deposit, withdraw, or register for services (for facilitating financial transactions or services)","Bakka bu’aan maallaqa moobaayilaa tajaajila milkaa’inaan raawwate hundaaf (kanneen akka maallaqa galchuu, kaffaltii tajaajilaa, yookiin galmee waaletii) komishinii argata.","A mobile money agent earns a commission for each successful transaction they assist with, such as cash-in, bill payment, or wallet registration.",1.0
om-023,Community-Based Finance,Faayinaansii Hawaasummaa,om,Concept,"Sirna aadaa namoonni walitti dhufuun maallaqa qusatan, liqeessan, yookiin wal deggeranidha. Sirnoonni kun amantaa fi hariiroo hawaasummaa irratti hundaa’u.","Community-based finance refers to traditional systems where people come together to save, lend, or support each other financially. These systems are based on trust and social ties.","Gareen ollaa walitti dhufuun ququbee hundeeffatanii, torban torbaniin maallaqa murtaa'e walitti buusu; miseensi tokko ammoo dabareedhaan maallaqa sassaabame sana fudhata.","A group of neighbors form an Equb where each member contributes a fixed amount weekly, and one member receives the total amount in rotation.",1.0
om-024,Credit,Liqii,om,Product/instrument,Maallaqa dhaabbata faayinaansii idilee yookiin pilaatfoormii dijitaalaa irraa fudhatamu yeroo booda deebisuuf waliigalteedhaan kennamu.,"Credit is money provided to a user by a formal financial institution or digital platform with the agreement that it will be paid back later, usually with interest.","Fayyadamaan maallaqa moobaayilaa tajaajila liqii dijitaalaa eeyyamame irraa liqii (credit) fudhatee, dhala xiqqaa waliin ji'a tokko keessatti deebisuuf waliigala.",A mobile money user receives credit through a licensed digital lending service and agrees to repay the amount over one month with a small interest fee.,1.0
om-025,Credit Card,Kaardii Liqii,om,Product/instrument,"Kaardii kaffaltii maamilli maallaqa baankii irraa liqeeffachuun ittiin kaffaluuf gargaarudha. Maallaqni liqeeffatame sun yeroo murtaa'e keessatti deebi'uu qaba, yoo ta'uu baate dhala qaba.","It is a type of revolving credit, typically issued by a bank, which allows borrowing funds to make purchases or withdraw cash, up to a predetermined limit. The borrowed money should be repaid, plus any applicable interest and fees, later.","Maamilli tokko Kaardii Liqii fayyadamuun bittaa guddaa onlaayinii irratti raawwatee, dhuma ji'aat irratti baankiif maallaqa deebisa.",,1.0
om-026,Credit History,Seenaa Liqii,om,Process,"Galmee amala liqii fudhachuu fi deebisuu fayyadamaati. Dhaabbileen faayinaansii dandeettii fi amanamummaa kaffaltii namaa ittiin madaaluuf gargaaramu. Tajaajila faayinaansii dijitaalawaa keessatti, seenaan kun sochii moobaayilaa, kaffaltiiwwanii fi liqii darban irraas madduu danda’a.","Credit history is a record of a user’s past borrowing and repayment behavior. It helps financial institutions assess how reliable a person is when it comes to repaying loans. In digital financial services, credit history may be built from mobile transactions, bill payments, or previous loans.",Fayyadamaan liqii dijitaalaa xixiqqoo yeroon deebisu Seenaa Liqii gaarii qabaata; kunis gara fuulduraatti liqii guddaa akka argatuuf isa gargaara.,"A user who regularly repays small digital loans on time builds a positive credit history, which may help them qualify for larger loans in the future.",1.0
om-027,Credit Scoring,Madaallii Liqii,om,Process,"Adeemsa dandeettii kaffaltii maamilaa madaaluun qabxii kennuuti. Tajaajila faayinaansii dijitaalawaa keessatti, madaalliin kun daataa sochii moobaayilaa, kaffaltiiwwan tajaajilaa, fi aadaa qusannoo irratti hundaa’uun riiskii /sodaa tilmaama. Example: Dhiyeessaan liqii dijitaalaa sochii maallaqa moobaayilaa (waaletii) fi seenaa bittaa kaardii fayyadamaa ilaaluun, osoo liqii hin eeyyamiin dura Madaallii Liqii shallaga.","Credit scoring is the process of evaluating a user’s ability to repay borrowed money by assigning a score based on their financial behavior. In digital financial services, credit scoring may use mobile transaction data, bill payments, and savings patterns to assess risk.",,A digital credit provider uses mobile money (wallet) activity and airtime purchase history to generate a credit score before approving a loan request.,1.0
om-028,Customer Service,Tajaajila Maamilaa,om,Process,"Tajaajila maamilaa jechuun [u9] Deeggarsa dhaabbileen faayinaansii maamiltootaaf karaa bilbilaa, appilikeeshinii, ergaa gabaabaa ,ykn bakka bu’aa fayyadamuun rakkoo furuu, gaaffii deebisuu, fi tajaajila isaanii ilaalchisee gargaarsa taasisuu[u10] dha.","Customer service refers to the support provided by financial service providers to help users solve problems, ask questions, and get assistance with their accounts or transactions. It can be offered through call centers, mobile apps, USSD menus, or in-person agents.",Fayyadamaan maallaqa moobaayilaa tokko kaffaltii fashalaa'e gabaasuuf lakkoofsa bilisaa bilbiluun Tajaajila Maamilaa irraa gargaarsa argata.,A mobile money user contacts customer service through a toll-free number to report a failed transaction and receives help to resolve the issue.,1.0
om-029,Data Protection,Eegumsa Daataa,om,Policy,"Imaammata fi hojiiwwan odeeffannoo dhuunfaa fi faayinaansii fayyadamtootaa eeguu fi karaa sirrii ta’een qabuu mirkaneessanidha. Kunis daataa hanna, dogoggoraan fayyadamuu, fi qaama sadaffaaf kennuu irraa ittisa. Example Dhiyeessaan maallaqa moobaayilaa eenyummaa fi seenaa sochii maamilaa eeyyama malee qaama sadaffaa irraa eeguuf fi teeknoolojii nageenyaa fayyadama.","Data protection refers to the practices and policies that ensure users’ personal and financial information is kept safe, secure, and used responsibly. In digital financial services, this includes protecting data from unauthorized access, misuse, or leaks.",,A mobile money provider uses encryption and secure servers to protect users’ identity and transaction history from being accessed by third parties without consent.,1.0
om-030,Debit Card,Kaardii Kaffaltii,om,Product / Instrument,Kaardii kaffaltii kallattiin herrega baankii fayyadamichaa wajjin walqabatee fi maallaqa isaan dursee herrega isaanii Irraa qaban fayyadamuun bittaa raawwachuu ykn maallaqa callaa baasuu (tajaajiloota ATM/POS/toora interneetii) kan dandeessisudha.,A debit card is a card that lets you use your own money from your bank account to pay for things or take out cash from an ATM.,"Maamilichi kaardii deebitii argachuuf baankii isaatti iyyata. Erga fudhatee booda, maallaqa callaa harkatti baachuu osoo isa hin barbaachisin, kallattiin maallaqa herrega isaa keessa jiru fayyadamuun bittaa raawwachuu ykn maallaqa callaa baasuu danda'a.",,1.0
om-031,Deposit,Maallaqa Galchuu,om,Use case,"Adeemsa fayyadamaan maallaqa yookiin waaletii isaa irratti karaa maallaqa callaa, dabarsa baankii yookinn bakka bu’aa galchuuti.","A deposit is when a user adds money to their account or mobile money (wallet). Deposits can be made through mobile apps, USSD, or with the help of a mobile money agent.",Fayyadamaan maallaqa callaa bakka bu’aatti kenna; bakka bu’aanis maallaqa sana waaletii moobaayilaa fayyadamaaf olkaa’aaf.,"A user gives cash to a mobile money agent, who then deposits the amount into the user’s mobile wallet for future use.",1.0
om-032,Digital Financial Services (DFS),Tajaajila Faayinaansii Dijitaalawaa (TFD),om,Concept,"Tajaajila faayinaansii (kaffaltii, qusannoo, liqii, inshuuraansii) karaa dijitaalaa (bilbila, interneetii, ATM, fi bakka bu’ootaan) dhiyaatudha. Kaayyoon isaa tajaajila salphaa, nageenya amansiisaa qabuu fi dhaqqabamaa ta’e uumuudha.",,"Fayyadamaan tokko Tajaajila Faayinaansii Dijitaalawaa (TFD)bilbila isaa qofa fayyadamuun maallaqa erga, tajaajila kaffala, liqii xixiqqoos ni fudhata.",,1.0
om-033,Digital Payments,Kaffaltii Dijitaalawaa,om,Use case,"Sochii faayinaansii elektirooniksii bilbila moobaayilaa, appilikeeshinii, USSD, yookiin pilaatfoormii dijitaalaa biroo fayyadamuun maallaqa callaa (cash) malee raawwatamudha.",,"Fayyadamaan tokko kaffaltii ibsaa bakka kaffaltii qaamaan deemuu mannaa, waaletii moobaayilaa fi koodii USSD fayyadamuun raawwata.",,1.0
om-034,Digital Transaction,Daddabarsa Dijitaalaa,om,Use Case,"Jijjiirraa faayinaansii maallaqa callaa qaamaan qabatamuun osoo hin taane, karaa elektirooniksiitiin raawwatamu kamiyyuu yoo ta'u, kaffaltiiwwan karaa bilbila moobaayilaa, kaardii, yookan toora interneetiitiin raawwataman of keessatti hammata. Kunis sochii maallaqaa yookan raawwii faayinaansii maallaqa callaa fayyadamuun osoo hin taane karaa miidiyaalee dijitaalaatiin raawwatamu ibsa.","A digital transaction is any financial exchange that occurs electronically, without physical cash, using devices like computers or smartphones. These include online shopping, sending money between individuals through various digital payment methods; using credit or debit cards, mobile wallets, and direct bank transfers.","Namni tokko qaamaan baankii deemuun maallaqa callaa herrega isaa keessa kaa'a. Booda, gara baankiitti deebi'uun osoo isa hin barbaachisin waaleetii moobaayilaa isaa fayyadamuun miseensa maatii isaatiif maallaqa dabarsa. Gochi inni lammaffaan kun karaa dijitaalaa waan raawwatameef daddabarsa dijitaalaa (digital transaction) jedhama.",,1.0
om-035,Dispute Resolution,Furmaata Rakkoo,om,Process,"Adeemsa rakkoolee yookiin walii-galtee dhabuu sochii faayinaansii wajjin wal qabatan (fkn: kaffaltii fashalaa’e, hir'ina seeraan alaa, yookiin hayyama malee herreega ilaaluu) itti qulqulleessanii fi hiikanidha.",,"Fayyadamaan tokko dabarsa maallaqa moobaayilaa fashalaa'e gabaasuun, dhiyeessaa tajaajilaa irraa deeggarsa qulqulleessuu fi rakkoo furuu (karaa maallaqa deebisuu yookiin sirreessuu) argata.",,1.0
om-036,eCommerce,Daldala Elektiroonii,om,Use Case,"Bittaa fi gurgurtaan oomishaa yookiin tajaajilaa interneetii irratti raawwatamu. Pilatfoormiiwwan akka marsariitii, miidiyaa hawaasummaa, yookiin appilikeeshiniiwwan moobaayilaa fayyadamuun filachuu, ajajuu fi kaffaluu dabalata.","eCommerce refers to the buying and selling of goods or services over the internet. It includes online marketplaces, social media shops, and mobile apps where users can browse, order, and pay digitally.","Abbaan daldalaa xiqqaa tokko oomisha harkaa karaa fuula miidiyaa hawaasummaa gurguree, kaffaltii maallaqa moobaayilaatiin maamiltoota irraa fudhata.",A small business owner sells handmade products through a social media page and receives payments via mobile money from customers.,1.0
om-037,Digital Finance Ecosystem,Sirnakkoo Faayinaansii Dijitaalawaa,om,Concept,"Sirna wal-unata namootaa, dhaabbilee, teeknoolojii, fi seerotaa tajaajila faayinaansii dijitaalaa dhiyeessuuf wal tumsanii hojjetanidha. Kunis dhiyeessitoota maallaqa moobaayilaa, baankota, bakka bu’oota, FinTech, to’attoota, fi fayyadamtoota of keessatti qabata.","An ecosystem refers to the network of individuals, institutions, technologies, and regulations that work together to deliver digital financial services. It includes mobile money providers, banks, agents, fintechs, regulators, and users. A strong ecosystem enables access, innovation, and trust in financial services.","Sirnakkoon faayinaansii dijitaalawaa, pilaatfoormiiwwan maallaqa moobaayilaa, hidhata bakka bu'ootaa, imaammata mootummaa, fi FinTech'oota haaraa hirmaannaa faayinaansii babal'isuuf waliin hojjetan hammata.","A digital financial services ecosystem may include mobile money platforms, agent networks, government policies, and fintech startups working together to expand financial inclusion.",1.0
om-038,eMoney,Maallaqa Elektiroonikii,om,Product/instrument,"Maallaqni elektirooniksii bifa maallaqa dijitaalaa ta’ee kan herrega moobaayilaa yookiin toora intarneetii irratti kuufamudha. Kun maallaqa dhugaa bakka bu’uun kaffaltii raawwachuuf, erguuf yookiin fudhachuuf, fi tajaajila faayinaansii argachuuf gargaara. Maallaqni elektirooniksii dhaabbilee faayinaansii hayyama qabaniin kan kennamu yoo ta’u, gatii maallaqa callaa (cash) wal-gituun wabii qaba.","eMoney (electronic money) is a digital form of money stored in mobile wallets or online accounts. It represents real money and can be used to make payments, send or receive funds, and access financial services. eMoney is issued by licensed financial institutions and backed by equivalent cash value.","Fayyadamaan maallaqa callaa bakka bu’aa biratti erga galchee booda, maallaqa elektirooniksii waaletii isaa irratti argata; sana boodas tajaajilootaf karaa dijitaalaa ta’een ittiin kaffala.","A user receives eMoney in their mobile wallet after depositing cash through a mobile money agent, and uses it to pay for services digitally.",1.0
om-039,Fees,Kaffaltii Tajaajilaa,om,Pricing,"Maallaqa xiqqoo fayyadamaan tajaajila faayinaansii argachuu isaatiif kaffaludha. Tajaajila faayinaansii dijitaalaa keessatti, kaffaltiin kun sochiiwwan akka maallaqa erguu, baasuu, yookiin biilii kaffaluu irratti muramuu danda’a. Yeroo baay'ee ofumaan herreega keessaa hir'ifama.","Fees are small amounts of money charged to users for using financial services. In digital financial services, fees may apply to transactions like sending money, withdrawing cash, or paying bills. These fees are usually deducted automatically from the user’s account or wallet.","Fayyadamaan tokko waaletii moobaayilaa isaa irraa gara nama biraatti maallaqa yeroo ergu, kaffaltiin tajaajilaa xiqqoon herreega isaa irraa hir'ifama.",A user is charged a small fee when transferring money from their mobile wallet to another person’s account.,1.0
